step 0: train loss 4.2393, val loss 4.2355
iter 0: loss 4.2554, time 344154.80ms, mfu -100.00%, MPS mem allocated=0.81GB, reserved=11.75GB
iter 10: loss 3.2717, time 3511.96ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 20: loss 2.8247, time 3497.22ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 30: loss 2.6317, time 3504.67ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 40: loss 2.5645, time 3749.88ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 50: loss 2.5367, time 3631.97ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 60: loss 2.5211, time 3393.24ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 70: loss 2.5020, time 3465.76ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 80: loss 2.4881, time 3313.46ms, mfu 0.23%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 90: loss 2.4818, time 3024.12ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 100: loss 2.4900, time 3236.79ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 110: loss 2.4901, time 3341.97ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 120: loss 2.4705, time 3315.40ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 130: loss 2.4623, time 2979.32ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 140: loss 2.4766, time 3019.78ms, mfu 0.25%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 150: loss 2.4673, time 3631.27ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 160: loss 2.4635, time 3006.05ms, mfu 0.25%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 170: loss 2.4569, time 3725.78ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 180: loss 2.4426, time 3631.59ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 190: loss 2.4471, time 3461.29ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 200: loss 2.4632, time 3045.16ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 210: loss 2.4640, time 3494.49ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 220: loss 2.4353, time 3218.51ms, mfu 0.25%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 230: loss 2.4436, time 3515.86ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 240: loss 2.4408, time 3587.98ms, mfu 0.24%, MPS mem allocated=0.81GB, reserved=11.76GB
step 250: train loss 2.4271, val loss 2.4833
saving checkpoint to out-shakespeare-char
iter 250: loss 2.4294, time 395623.84ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 260: loss 2.4338, time 3269.83ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 270: loss 2.4315, time 3726.91ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 280: loss 2.4307, time 4475.54ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 290: loss 2.4202, time 4008.24ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 300: loss 2.4229, time 3897.39ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 310: loss 2.4221, time 3884.99ms, mfu 0.22%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 320: loss 2.4066, time 5059.91ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 330: loss 2.4150, time 3822.29ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 340: loss 2.4079, time 4374.21ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 350: loss 2.4241, time 3957.40ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 360: loss 2.4274, time 3550.67ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 370: loss 2.3922, time 3422.68ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 380: loss 2.3939, time 3885.12ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
iter 390: loss 2.3976, time 4048.04ms, mfu 0.21%, MPS mem allocated=0.81GB, reserved=11.76GB
